Year,Make,Model,transmission,mileage,price,Year,Make,Model
2005,chevrolet,1500,            automatic,174000,6700,2005,chevrolet,1500
2001,19th,Hole Carryall II,            other,NA,700,2001,19th,Hole Carryall II
1992,Ford,truck  ,            automatic,199000,3200,1992,Ford,truck
2003,jeep,grand cherokee limited,            automatic,177000,1500,2003,jeep,grand cherokee limited
1991,nissan,pick up ,            manual,215000,1500,1991,nissan,pick up
2004,VW,Touareg V-10 diesel,            automatic,NA,3900,2004,VW,Touareg V-10 diesel
1988,chevy,s-10 blazer ,            automatic,NA,1500,1988,chevy,s-10 blazer
1978,Dodge,vouge  ,            automatic,149000,3990,1978,Dodge,vouge
1991,c1500,  ,            manual,NA,1200,1991,c1500,
2004,ford,f150 lariat ,            automatic,NA,10500,2004,ford,f150 lariat
2015,Dodge,Grand Caravan ,            automatic,NA,NA,2015,Dodge,Grand Caravan
1996,Ford,f 150 xl,            automatic,234000,2450,1996,Ford,f 150 xl
1997,BMW,528i  ,            automatic,172000,2500,1997,BMW,528i
2014,Toyota,RAV4  ,NA,NA,NA,2014,Toyota,RAV4
2006,jeep,liberty 4x4 ,            automatic,NA,7495,2006,jeep,liberty 4x4
2002,gmc,sierra 2500hd ,            automatic,145065,19000,2002,gmc,sierra 2500hd
2016,Jeep,Grand Cherokee ,            automatic,25816,NA,2016,Jeep,Grand Cherokee
1966,Chevrolet,Chevelle  ,            manual,NA,NA,1966,Chevrolet,Chevelle
1963,volkswagen,beetle  ,            manual,4652,7000,1963,volkswagen,beetle
2000,lexus,rx 300 ,            automatic,202245,5495,2000,lexus,rx 300
1998,mercury,sable  ,            automatic,NA,2000,1998,mercury,sable
1998,GMC,Jimmy  ,            automatic,NA,1650,1998,GMC,Jimmy
1976,Stingray,Corvette  ,            automatic,27000,12000,1976,Stingray,Corvette
1939,Overland,Willys Coupe ,            automatic,20000,1,1939,Overland,Willys Coupe
2004,lexus,rx 330 ,            automatic,155280,9500,2004,lexus,rx 330
2016,Volkswagen,Beetle  ,            automatic,12123,17898,2016,Volkswagen,Beetle
2016,Chrysler,300,            automatic,16402,25898,2016,Chrysler,300
2014,Ford,Mustang  ,            automatic,31039,18491,2014,Ford,Mustang
2015,BMW,3 Series ,            automatic,50068,36288,2015,BMW,3 Series
2000,Acura,32t  ,            automatic,NA,2500,2000,Acura,32t
2000,nissan,frontier  ,            manual,NA,5495,2000,nissan,frontier
1991,Honda,Accord  ,            automatic,230036,1795,1991,Honda,Accord
2005,honda,element  ,            automatic,118152,6495,2005,honda,element
2008,honda,pilot  ,            automatic,180012,6999,2008,honda,pilot
2009,kia,sportage  ,            automatic,NA,5495,2009,kia,sportage
1997,ford,f-150 lariat ,            automatic,165104,3700,1997,ford,f-150 lariat
2008,saturn,outlook xe ,            automatic,NA,12000,2008,saturn,outlook xe
2005,toyota,  ,            automatic,NA,NA,2005,toyota,
2004,Kia,Optima  ,            automatic,NA,300,2004,Kia,Optima
1983,ford,f150  ,            manual,NA,2200,1983,ford,f150
1978,Chevrolet,  ,            automatic,NA,3900,1978,Chevrolet,
1994,Ford,E350  ,            automatic,267176,5000,1994,Ford,E350
1999,Chevrolet,G3500  ,            automatic,277690,5000,1999,Chevrolet,G3500
2014,Chevrolet,Traverse  ,            automatic,39756,20998,2014,Chevrolet,Traverse
1978,Jeep,cj5  ,            manual,NA,6000,1978,Jeep,cj5
2014,Ford,Escape  ,NA,0,NA,2014,Ford,Escape
2012,FIAT,500,NA,NA,NA,2012,FIAT,500
2013,Toyota,Tacoma  ,NA,NA,NA,2013,Toyota,Tacoma
1966,Ford,Fairlane  ,            automatic,NA,2500,1966,Ford,Fairlane
2008,GMC,Sierra 1500 ,NA,NA,NA,2008,GMC,Sierra 1500
2014,Chevrolet,Silverado 2500HD ,NA,NA,NA,2014,Chevrolet,Silverado 2500HD
1926,Ford,  ,            automatic,NA,15000,1926,Ford,
2007,BMW,530i  ,            automatic,NA,10499,2007,BMW,530i
2011,Nissan,Titan  ,            automatic,59800,23000,2011,Nissan,Titan
2002,chevrolet,silverado 2500hd ,            automatic,218267,9900,2002,chevrolet,silverado 2500hd
1997,Buick,Lesabre Limited ,            automatic,134000,1800,1997,Buick,Lesabre Limited
2005,BMW,645ci Convertible ,            automatic,52716,16895,2005,BMW,645ci Convertible
1999,volkswagen,passat gls ,            automatic,191300,2800,1999,volkswagen,passat gls
2016,Toyota,Tacoma  ,            automatic,11647,NA,2016,Toyota,Tacoma
2016,Toyota,Corolla  ,NA,19004,NA,2016,Toyota,Corolla
2015,Toyota,4Runner  ,NA,NA,NA,2015,Toyota,4Runner
2013,dodge,ram 2500 tradesman,            automatic,NA,NA,2013,dodge,ram 2500 tradesman
1993,plymouth,voyager  ,            automatic,30000,1100,1993,plymouth,voyager
1990,honda,accord  ,            automatic,NA,450,1990,honda,accord
2006,ford,focus  ,            automatic,NA,3000,2006,ford,focus
2002,GMC,Sierra  ,            automatic,205252,5995,2002,GMC,Sierra
2014,Nissan,Altima  ,            automatic,35768,14991,2014,Nissan,Altima
2016,Ford,F-150  ,            automatic,23307,28898,2016,Ford,F-150
2016,Ford,Escape  ,            automatic,10491,21991,2016,Ford,Escape
2014,Mazda,CX-5  ,            automatic,44668,16287,2014,Mazda,CX-5
2002,Jeep,Grand Cherokee Limited,            automatic,NA,4000,2002,Jeep,Grand Cherokee Limited
2013,Ram,  ,            other,NA,NA,2013,Ram,
2005,dodge,ram 2500 4x4,            automatic,202165,13900,2005,dodge,ram 2500 4x4 5.9l cummins
2015,dodge,ram  ,            automatic,NA,220,2015,dodge,ram
1953,Belly,tank  ,            manual,NA,1850,1953,Belly,tank
1999,Ford,F-150  ,            automatic,190000,3500,1999,Ford,F-150
2006,buick,lucerne  ,            automatic,46500,15200,2006,buick,lucerne
2008,Scion,xb  ,            automatic,80000,NA,2008,Scion,xb
1999,Ford,Ranger XLT SC,            automatic,NA,5500,1999,Ford,Ranger XLT SC
1997,ford,explorer xlt ,            automatic,NA,1400,1997,ford,explorer xlt
1977,chevrolet,corvette  ,            automatic,79911,22000,1977,chevrolet,corvette
2014,BMW,5 Series ,            automatic,30256,38708,2014,BMW,5 Series
1981,CHEVY,SUBURBAN  ,            automatic,NA,1500,1981,CHEVY,SUBURBAN
2003,CHEV,C7500  ,NA,NA,NA,2003,CHEV,C7500
2009,Dodge,Ram 1500 ,NA,NA,NA,2009,Dodge,Ram 1500
2016,Ford,F-150  ,            automatic,24319,NA,2016,Ford,F-150
2014,hyundai,elantra  ,            automatic,NA,8800,2014,hyundai,elantra
2014,Silverado,2500hd ltz ,            automatic,37500,48,2014,Silverado,2500hd ltz
2003,Honda,Pilot LX ,            automatic,176133,5000,2003,Honda,Pilot LX
2001,nissan,maxima  ,            automatic,191555,3500,2001,nissan,maxima
2008,Kia,Sorento  ,            automatic,132000,3500,2008,Kia,Sorento
2004,nissan,frontier  ,            manual,171111,3500,2004,nissan,frontier
1959,Jeep,CJ-5  ,            manual,90554,9500,1959,Jeep,CJ-5
2016,Chevrolet,Silverado 1500 ,            automatic,4149,NA,2016,Chevrolet,Silverado 1500
2016,toyota,corolla  ,            automatic,23869,NA,2016,toyota,corolla
2013,mazda,6,            automatic,80000,8600,2013,mazda,6
2013,dodge,durango sxt ,            automatic,89853,NA,2013,dodge,durango sxt
2012,chrysler,300,            automatic,35814,NA,2012,chrysler,300
2014,nissan,maxima  ,            automatic,50795,NA,2014,nissan,maxima
1999,Toyota,Camry  ,            automatic,NA,750,1999,Toyota,Camry
2008,Toyota,Tacoma  ,NA,NA,NA,2008,Toyota,Tacoma
1993,lexus,es 300 ,            automatic,104000,NA,1993,lexus,es 300
2003,Chevy,Tracker  ,            automatic,145000,4500,2003,Chevy,Tracker
2004,bmw,x5  ,            automatic,112000,6000,2004,bmw,x5
2009,infiniti,fx35  ,            automatic,73702,NA,2009,infiniti,fx35
2016,Honda,HR-V  ,            automatic,26975,NA,2016,Honda,HR-V
2013,mercedes,benz s600 ,            automatic,75666,NA,2013,mercedes,benz s600
2003,Ford,F-250 diesel ,            automatic,265000,8500,2003,Ford,F-250 diesel
2013,ford,explorer  ,            automatic,80614,NA,2013,ford,explorer
2013,ford,mustang gt premium,            manual,67618,NA,2013,ford,mustang gt premium
1987,porsche,944,            manual,NA,3500,1987,porsche,944
2013,dodge,challenger sxt ,            automatic,57019,NA,2013,dodge,challenger sxt
2002,subaru,outback  ,            automatic,151000,3995,2002,subaru,outback
2015,nissan,pathfinder  ,            automatic,40069,NA,2015,nissan,pathfinder
1993,chevy,suburban 1500 ,            automatic,190000,2400,1993,chevy,suburban 1500
2011,honda,accord se ,            automatic,76950,NA,2011,honda,accord se
2015,honda,civic lx ,            automatic,31847,NA,2015,honda,civic lx
2015,toyota,camry le ,            automatic,37919,NA,2015,toyota,camry le
2010,chevy,silverado 1500 ,            automatic,68000,21500,2010,chevy,silverado 1500
2014,lexus,is250  ,            automatic,22506,NA,2014,lexus,is250
2007,ford,mustang shelby gt500,            manual,2406,56500,2007,ford,mustang shelby gt500
2012,ford,mustang v6 ,            manual,58112,NA,2012,ford,mustang v6
2011,bmw,535i  ,            automatic,66200,NA,2011,bmw,535i
2014,lexus,is350  ,            automatic,60100,NA,2014,lexus,is350
2014,toyota,tundra  ,            automatic,39500,NA,2014,toyota,tundra
2014,infiniti,qx60  ,            automatic,41910,NA,2014,infiniti,qx60
2014,infiniti,q50  ,            automatic,43165,NA,2014,infiniti,q50
2008,Jeep,wrangler  ,            automatic,98000,16000,2008,Jeep,wrangler
2013,chevrolet,camaro  ,            manual,29400,NA,2013,chevrolet,camaro
2015,dodge,journey  ,            automatic,74500,NA,2015,dodge,journey
1973,CJ5,  ,            automatic,NA,5000,1973,CJ5,
1997,Saturn,SC1  ,            automatic,NA,1,1997,Saturn,SC1
2001,ACURA,INTEGRA  ,            automatic,131000,4500,2001,ACURA,INTEGRA
2008,Ford,F250  ,            manual,NA,9000,2008,Ford,F250
2013,kenworth,t 660 ,            other,NA,NA,2013,kenworth,t 660
2011,mercedes,e350  ,            automatic,47080,NA,2011,mercedes,e350
2016,buick,lacrosse  ,            automatic,31542,NA,2016,buick,lacrosse
2011,bmw,528i  ,            automatic,79338,NA,2011,bmw,528i
2007,bmw,m6 convertible ,            automatic,61537,NA,2007,bmw,m6 convertible
2016,Dodge,Durango  ,            automatic,22126,28494,2016,Dodge,Durango
2017,Jeep,Grand Cherokee ,            automatic,18912,29491,2017,Jeep,Grand Cherokee
2016,Hyundai,Santa Fe Sport,            automatic,44684,16491,2016,Hyundai,Santa Fe Sport
2011,Mazda,CX-7  ,            automatic,82722,10988,2011,Mazda,CX-7
2014,volkswagen,jetta  ,            automatic,59700,NA,2014,volkswagen,jetta
2014,nissan,370z  ,            automatic,26100,NA,2014,nissan,370z
1995,Toyota,  ,            manual,200000,3500,1995,Toyota,
2015,mitsubishi,mirage  ,            automatic,21569,NA,2015,mitsubishi,mirage
2011,chevrolet,impala  ,            automatic,95000,NA,2011,chevrolet,impala
1991,mercedes-benz,  ,            automatic,NA,11000,1991,mercedes-benz,
2004,honda,s2000  ,            manual,NA,13500,2004,honda,s2000
2008,nissan,altima  ,            automatic,86000,7989,2008,nissan,altima
2003,2500,pickup  ,            automatic,167000,17500,2003,2500,pickup
2012,Nissan,Armada  ,            automatic,33400,24595,2012,Nissan,Armada
2013,toyota,tacoma prerunner ,            automatic,26000,27500,2013,toyota,tacoma prerunner
1987,Suzuki,Samurai  ,            manual,90000,7500,1987,Suzuki,Samurai
2002,volkswagen,beetle  ,            manual,170000,2500,2002,volkswagen,beetle
2001,volvo,s60  ,            automatic,198954,2000,2001,volvo,s60
2011,bmw,135i  ,            automatic,78851,NA,2011,bmw,135i
2006,Ford,e450  ,            automatic,92000,6000,2006,Ford,e450
2011,honda,accord  ,            automatic,76950,NA,2011,honda,accord
1998,toyota,camry  ,            automatic,NA,2500,1998,toyota,camry
2004,Spectra,  ,            manual,NA,NA,2004,Spectra,
2003,Chevrolet,Silverado  ,            automatic,214400,6000,2003,Chevrolet,Silverado
1993,Ford,E250  ,            automatic,NA,1000,1993,Ford,E250
1974,ford,mavericks  ,            automatic,NA,2450,1974,ford,mavericks
1994,FORD,E-250  ,            automatic,NA,2750,1994,FORD,E-250
1962,ford,ranchero  ,            automatic,NA,1750,1962,ford,ranchero
1962,ford,ranchero  ,            automatic,NA,1750,1962,ford,ranchero
1996,isuzu,rodeo  ,            manual,292869,1000,1996,isuzu,rodeo
2016,Ram,ProMaster City ,            automatic,14790,15000,2016,Ram,ProMaster City
1949,Chevrolet,3100 Pickup ,            automatic,NA,13995,1949,Chevrolet,3100 Pickup
2013,Toyota,Tacoma  ,NA,NA,NA,2013,Toyota,Tacoma
2015,Cadillac,ATS Sedan ,            automatic,23345,NA,2015,Cadillac,ATS Sedan
2017,Toyota,Tacoma  ,NA,2678,NA,2017,Toyota,Tacoma
2013,Ford,F-150  ,NA,NA,NA,2013,Ford,F-150
2016,Toyota,Tacoma  ,NA,7170,NA,2016,Toyota,Tacoma
1987,suzuki,samari  ,            manual,NA,3400,1987,suzuki,samari
1999,acura,integra ls ,            automatic,208000,1900,1999,acura,integra ls
2007,Pontiac,G6  ,            automatic,157000,3500,2007,Pontiac,G6
1981,C10,  ,            automatic,88000,12500,1981,C10,
2000,ford,f250 super duty,            automatic,177000,8000,2000,ford,f250 super duty
2007,chevrolet,colorado  ,            automatic,108100,5500,2007,chevrolet,colorado
1982,datsun,280 zx ,            automatic,153831,700,1982,datsun,280 zx
1970,VW,  ,            manual,NA,9500,1970,VW,
2008,Mini,Cooper  ,            manual,127000,5495,2008,Mini,Cooper
1968,Chevrolet,corvair  ,            other,NA,1100,1968,Chevrolet,corvair
1978,Chevy,crew cab ,            automatic,NA,1500,1978,Chevy,crew cab
2016,GMC,Yukon XL ,NA,21123,NA,2016,GMC,Yukon XL
1966,mg,midget  ,            manual,46900,6900,1966,mg,midget
2017,Toyota,Tacoma  ,            automatic,7483,NA,2017,Toyota,Tacoma
2015,Mitsubishi,Mirage  ,            automatic,23723,NA,2015,Mitsubishi,Mirage
2001,mercedes,slk  ,            automatic,NA,8900,2001,mercedes,slk
2003,honda,crv ex awd,            automatic,NA,7000,2003,honda,crv ex awd
2016,Nissan,Versa Note ,            automatic,41010,10991,2016,Nissan,Versa Note
2016,Jeep,Patriot  ,            automatic,13660,15488,2016,Jeep,Patriot
2014,Honda,Accord  ,            automatic,84797,15498,2014,Honda,Accord
2011,BMW,3 Series ,            automatic,79602,22991,2011,BMW,3 Series
2011,chevy,tahoe ltz ,            automatic,NA,22000,2011,chevy,tahoe ltz
2010,Toyota,Camry  ,            automatic,111587,NA,2010,Toyota,Camry
2012,Nissan,Altima  ,            automatic,62098,NA,2012,Nissan,Altima
2003,ford,f-150  ,            manual,NA,3800,2003,ford,f-150
1969,cadillac,  ,            automatic,NA,12000,1969,cadillac,
2006,Volkswagen,Beetle Convertible ,            automatic,103600,5250,2006,Volkswagen,Beetle Convertible
1979,chevy,suburban 1500 ,            automatic,NA,3300,1979,chevy,suburban 1500
2011,Chevrolet,Tahoe  ,            automatic,134904,NA,2011,Chevrolet,Tahoe
2013,Dodge,Journey  ,            automatic,55785,NA,2013,Dodge,Journey
2013,Dodge,Charger  ,            automatic,61597,NA,2013,Dodge,Charger
2011,Chrysler,300,            automatic,90011,NA,2011,Chrysler,300
2013,Honda,Civic  ,            automatic,0,NA,2013,Honda,Civic
2008,BMW,1 Series ,            automatic,98541,NA,2008,BMW,1 Series
2003,ford,explorer  ,            automatic,NA,3500,2003,ford,explorer
2016,cart,1934 ford truck,            automatic,NA,13900,2016,cart,1934 ford truck
2016,nissan,rogue  ,            automatic,21034,24900,2016,nissan,rogue
1988,Ford,F250  ,            automatic,55600,6000,1988,Ford,F250
2007,Dodge,ram  ,            automatic,280,7300,2007,Dodge,ram
1997,dodge,dakota  ,            automatic,NA,2750,1997,dodge,dakota
2004,chevrolet,malibu  ,            automatic,NA,2950,2004,chevrolet,malibu
2004,infiniti,g35  ,            manual,NA,4200,2004,infiniti,g35
1984,Pontiac,Firebird Trans am,            automatic,80000,8000,1984,Pontiac,Firebird Trans am
2013,Honda,Accord  ,            automatic,41183,17949,2013,Honda,Accord
1978,Ford,Bronco  ,            automatic,NA,1500,1978,Ford,Bronco
1998,dodge,slt  ,            automatic,220000,4200,1998,dodge,slt
1999,Ford,experdition  ,            automatic,213000,3250,1999,Ford,experdition
1998,buick,park avenue ,            automatic,80000,2500,1998,buick,park avenue
2005,Ford,Focus  ,            automatic,155000,1500,2005,Ford,Focus
1995,lincoln,town car ,"	<meta name=""description"" content=""1995 lincoln town car VIN: 1lnlm81w3sy659743 condition: fair cylinders: 8 cylinders drive: rwd fuel: gas odometer: 186000 paint color: silver size: full-size title status: clean ..."">","	<meta name=""description"" content=""1995 lincoln town car VIN: 1lnlm81w3sy659743 condition: fair cylinders: 8 cylinders drive: rwd fuel: gas  186000 paint color: silver size: full-size title status: clean transmission:..."">",950,1995,lincoln,town car
1987,Jeep,YJ  ,            automatic,NA,10000,1987,Jeep,YJ
2005,Toyota,Tundra  ,NA,NA,NA,2005,Toyota,Tundra
2016,Jeep,Grand Cherokee ,            automatic,25816,NA,2016,Jeep,Grand Cherokee
2014,Lexus,GX 460 ,            automatic,NA,NA,2014,Lexus,GX 460
1986,Ford,  ,            automatic,NA,4000,1986,Ford,
2014,Nissan,Versa  ,NA,NA,NA,2014,Nissan,Versa
2011,Ford,Super Duty F-350,            automatic,NA,NA,2011,Ford,Super Duty F-350 DRW
2007,toyota,camry  ,            automatic,246000,4700,2007,toyota,camry
2002,honda,civic  ,            manual,NA,2000,2002,honda,civic
2007,Ford,Fusion  ,            automatic,114651,6800,2007,Ford,Fusion
2003,Subaru,Legacy  ,            automatic,114800,5700,2003,Subaru,Legacy
2007,Chevy,Trailblazer LS 4x4,            automatic,95763,4495,2007,Chevy,Trailblazer LS 4x4
2014,INFINITI,Q50  ,            automatic,41982,24991,2014,INFINITI,Q50
2016,Hyundai,Elantra  ,            automatic,38819,11991,2016,Hyundai,Elantra
2016,Nissan,Versa  ,            automatic,30152,11491,2016,Nissan,Versa
2016,Mazda,CX-5  ,            automatic,9605,28498,2016,Mazda,CX-5
1999,ford,explorer  ,            automatic,250000,2500,1999,ford,explorer
2000,isuzu,rodeo ls ,            automatic,120000,4000,2000,isuzu,rodeo ls
2006,kia,sedona  ,            automatic,NA,4350,2006,kia,sedona
2004,ford,f-150 lariat 4x4,            automatic,122000,13900,2004,ford,f-150 lariat 4x4
2000,Isuzu,Trooper  ,            automatic,165941,750,2000,Isuzu,Trooper
2001,chevy,cavalier  ,            automatic,NA,1200,2001,chevy,cavalier
1999,infiniti,q45t  ,            automatic,185000,2950,1999,infiniti,q45t
2004,Chrysler,crossfire  ,            manual,55000,8500,2004,Chrysler,crossfire
2006,2006,mitsubishi eclipse ,            manual,108000,4000,2006,2006,mitsubishi eclipse
2000,Dodge,grand caravan ,            automatic,NA,1000,2000,Dodge,grand caravan
1992,ford,ranger  ,            manual,NA,13000,1992,ford,ranger
1996,"FORD,RANGER,B2300",  ,            manual,198000,1950,1996,"FORD,RANGER,B2300",
1971,ford,f-250  ,            manual,NA,5500,1971,ford,f-250
2000,toyota,camry le 4dr,            automatic,148000,2800,2000,toyota,camry le 4dr sedan
2013,Toyota,Prius  ,NA,NA,NA,2013,Toyota,Prius
2015,Toyota,Camry Hybrid ,            automatic,NA,NA,2015,Toyota,Camry Hybrid
2016,Ford,F-150  ,            automatic,24319,NA,2016,Ford,F-150
2003,honda,accord ex ,            automatic,NA,3600,2003,honda,accord ex
1970,International,  ,            manual,NA,700,1970,International,
1993,ford,f-150  ,            automatic,143748,4300,1993,ford,f-150
1986,Ford,Bronco  ,            manual,200000,1500,1986,Ford,Bronco
2010,Chevrolet,Colorado  ,            automatic,NA,5900,2010,Chevrolet,Colorado
2012,freightliner,cascadia  ,            other,NA,NA,2012,freightliner,cascadia
2014,toyota,tundra tss ,            automatic,39500,NA,2014,toyota,tundra tss
2015,nissan,pathfinder  ,            automatic,40069,NA,2015,nissan,pathfinder
2015,mistubishi,mirage  ,            automatic,21569,NA,2015,mistubishi,mirage
2013,ford,mustang gt premium,            manual,67618,NA,2013,ford,mustang gt premium
1981,jeep,cj7  ,            manual,NA,8500,1981,jeep,cj7
2005,Sterling,Dump Truck ,            automatic,47500,35000,2005,Sterling,Dump Truck
1991,Chevrolet,Kodiak  ,            automatic,125843,13000,1991,Chevrolet,Kodiak
1995,Toyota,  ,            manual,200000,3500,1995,Toyota,
2013,ford,explorer  ,            automatic,80614,NA,2013,ford,explorer
2011,mercedes,s600  ,            automatic,75666,NA,2011,mercedes,s600
2009,infiniti,fx35 base ,            automatic,73702,NA,2009,infiniti,fx35 base
2005,Dodge,  ,            automatic,NA,3500,2005,Dodge,
2006,Scion,xB  ,            automatic,176977,4350,2006,Scion,xB
2012,mini,cooper  ,            automatic,NA,12000,2012,mini,cooper
2012,toyota,tundra  ,            automatic,NA,12475,2012,toyota,tundra
2013,jeep,grand cherokee ,            automatic,39900,49900,2013,jeep,grand cherokee
2006,dodge,2500,            automatic,NA,27900,2006,dodge,2500
2001,honda,civic ex ,            manual,NA,3400,2001,honda,civic ex
2003,Mercedes,SL55 AMG ,            automatic,22300,34000,2003,Mercedes,SL55 AMG
2008,Toyota,Prius  ,            automatic,216682,5995,2008,Toyota,Prius
2013,Ford,Escape  ,            automatic,57761,8995,2013,Ford,Escape
2001,Dodge,Ram 2500 ,            automatic,151895,9995,2001,Dodge,Ram 2500
2007,Chevrolet,Silverado 3500 Classic,            automatic,81645,18995,2007,Chevrolet,Silverado 3500 Classic
2011,Mazda,CX-7  ,            automatic,79497,9688,2011,Mazda,CX-7
2013,Toyota,Tacoma  ,            automatic,88167,21500,2013,Toyota,Tacoma
2014,Honda,Civic  ,            automatic,25068,15000,2014,Honda,Civic
2015,Hyundai,Elantra  ,NA,NA,NA,2015,Hyundai,Elantra
2016,Chevrolet,Suburban  ,NA,4311,NA,2016,Chevrolet,Suburban
1995,chevy,suburban  ,            automatic,124000,3500,1995,chevy,suburban
2015,Dodge,Grand Caravan ,            automatic,NA,NA,2015,Dodge,Grand Caravan
1967,NSU,110,            manual,NA,6500,1967,NSU,110
1967,NSU,110,            manual,NA,6500,1967,NSU,110
2010,Ford,RAPTOR  ,            automatic,NA,NA,2010,Ford,RAPTOR
2003,GMC,Sierra 3500 ,NA,NA,NA,2003,GMC,Sierra 3500
2012,fiat,500 POP ,            automatic,49000,NA,2012,fiat,500 POP
2001,BUICK,REGAL  ,            automatic,106000,NA,2001,BUICK,REGAL
2001,chevrolet,s10 blazer ,            automatic,184000,1600,2001,chevrolet,s10 blazer
2014,Toyota,Tacoma  ,NA,NA,NA,2014,Toyota,Tacoma
2016,Kia,Optima  ,            automatic,15978,16991,2016,Kia,Optima
2012,Toyota,Highlander  ,            automatic,113523,19993,2012,Toyota,Highlander
2014,Hyundai,Sonata  ,            automatic,53150,13288,2014,Hyundai,Sonata
2014,Mazda,Mazda6  ,            automatic,31780,16998,2014,Mazda,Mazda6
2015,Mazda,CX-9  ,            automatic,40272,22991,2015,Mazda,CX-9
2016,Chevrolet,Equinox  ,NA,18104,NA,2016,Chevrolet,Equinox
2017,Subaru,WRX  ,NA,10500,NA,2017,Subaru,WRX
2003,ford,explorer xlt ,            automatic,192500,2500,2003,ford,explorer xlt
2016,Ford,Escape  ,            automatic,5700,19500,2016,Ford,Escape
1972,BMW,2002,            manual,NA,20000,1972,BMW,2002
1987,Mazda,  ,            automatic,NA,NA,1987,Mazda,
2011,honda,civic  ,            automatic,54500,14000,2011,honda,civic
2003,chevy,silverado 1500 ,            automatic,151009,5000,2003,chevy,silverado 1500
2002,isuzu,trooper  ,            automatic,NA,1000,2002,isuzu,trooper
2018,honda,  ,            manual,NA,NA,2018,honda,
1959,BMW,Isetta 300 ,            manual,NA,5800,1959,BMW,Isetta 300
1991,buick,lesabre  ,            automatic,NA,250,1991,buick,lesabre
2006,volkswagen,beetle  ,            automatic,83000,3900,2006,volkswagen,beetle
2015,Toyota,Camry  ,            automatic,19687,17500,2015,Toyota,Camry
1992,jeep,cherokee laredo ,            automatic,298000,2000,1992,jeep,cherokee laredo
2005,Dodge,hemi  ,            automatic,NA,500,2005,Dodge,hemi
2001,Ford,f250 4x4 ,            automatic,NA,10,2001,Ford,f250 4x4
1997,dodge,ram 2500 cummins,            automatic,217000,8900,1997,dodge,ram 2500 cummins
1998,ford,expedition  ,            automatic,NA,500,1998,ford,expedition
2013,Honda,Fit  ,            automatic,25610,13623,2013,Honda,Fit
2014,Kia,Soul  ,NA,NA,NA,2014,Kia,Soul
2016,Subaru,Legacy  ,            automatic,2782,NA,2016,Subaru,Legacy
2016,Toyota,Tacoma  ,            automatic,11647,NA,2016,Toyota,Tacoma
2016,Chrysler,300,NA,24504,NA,2016,Chrysler,300
2017,Toyota,Tacoma  ,NA,3564,NA,2017,Toyota,Tacoma
1978,ALFA,ROMEO SPIDER ,            manual,85000,3500,1978,ALFA,ROMEO SPIDER
1978,ALFA,ROMEO SPIDER ,            manual,85000,3500,1978,ALFA,ROMEO SPIDER
2000,ford,explorer  ,            automatic,20000,2200,2000,ford,explorer
2014,Hyundai,Sonata  ,            automatic,53150,13493,2014,Hyundai,Sonata
2017,Jeep,Grand Cherokee ,            automatic,18912,28898,2017,Jeep,Grand Cherokee
2014,Toyota,Corolla  ,            automatic,15696,15493,2014,Toyota,Corolla
2017,Jeep,Grand Cherokee ,            automatic,18912,29491,2017,Jeep,Grand Cherokee
2015,Mazda,CX-9  ,            automatic,43532,22991,2015,Mazda,CX-9
1989,chrysler,5th ave ,            automatic,160000,700,1989,chrysler,5th ave
2016,Ford,F-150  ,            automatic,24319,NA,2016,Ford,F-150
2014,Ford,Fusion  ,            automatic,49231,14750,2014,Ford,Fusion
2014,Ford,Fiesta  ,            automatic,NA,NA,2014,Ford,Fiesta
2016,Toyota,Tacoma  ,            automatic,11647,NA,2016,Toyota,Tacoma
2004,Ford,f250 Diesel Power,            automatic,NA,13000,2004,Ford,f250 Diesel Power Stroke
2003,BMW,745i  ,            automatic,75000,11000,2003,BMW,745i
2002,nissan,frontier king cab,            manual,103000,5600,2002,nissan,frontier king cab
2002,nissan,frontier king cab,            manual,103000,5600,2002,nissan,frontier king cab
2005,Toyota,  ,            automatic,180000,4500,2005,Toyota,
1998,JEEP,CHEROKEE  ,            automatic,134000,9500,1998,JEEP,CHEROKEE
2007,ford,taurus  ,            automatic,150000,1,2007,ford,taurus
2000,lincoln,town car ,            automatic,NA,3000,2000,lincoln,town car
1997,ford,f-150  ,            automatic,1720000,NA,1997,ford,f-150
1991,Nissan,pick up ,            manual,215228,1500,1991,Nissan,pick up
2005,2005,Volvo V70 2.5T,            automatic,188600,3000,2005,2005,Volvo V70 2.5T
2007,2007,chevy 2500 ,            automatic,NA,NA,2007,2007,chevy 2500
1994,Pontiac,  ,            automatic,179497,1000,1994,Pontiac,
2005,honda,pilot ex-l 4wd,            automatic,168000,6400,2005,honda,pilot ex-l 4wd
2003,Mitsubishi,Eclipse  ,            automatic,144016,4500,2003,Mitsubishi,Eclipse
2016,toyota,corolla l ,            automatic,23869,NA,2016,toyota,corolla l
2016,FORD,T150  ,            automatic,NA,NA,2016,FORD,T150
1997,caddilac,deville  ,            automatic,NA,2000,1997,caddilac,deville
2011,Ford,Ranger  ,            manual,56000,9500,2011,Ford,Ranger
2015,nissan,altima 2.5 s,            automatic,48533,NA,2015,nissan,altima 2.5 s
2014,nissan,maxima  ,            automatic,50795,NA,2014,nissan,maxima
2013,dodge,durango sxt ,            automatic,89853,NA,2013,dodge,durango sxt
